app_name,username,rating,review,date,thumbs_up,review_length,review_clean
Netflix,Oliv_mgrthh 29,3,"susah masuk kedalam akun, selalu terlalu banyak upaya",2026-05-26 20:19:03,0,53,susah masuk kedalam akun selalu terlalu banyak upaya
Netflix,Fina Nazilia,1,"tidak bisa masuk, harus berbayar dahulu",2026-05-26 20:00:02,0,39,tidak bisa masuk harus berbayar dahulu
Netflix,Bayu Gustiawan,1,Daftar ae dibikin muter muter,2026-05-26 18:58:22,0,29,daftar ae dibikin muter muter
Netflix,Luh Gian Adinda,4,"harry potter,please",2026-05-26 17:20:46,0,19,harry potter please
Netflix,Rahma,1,"sdah berlangganan dan bayar tpi tiap mau masuk sandi sllu salah, padahal sdah sesuai dgn sandi yg di daftar awal",2026-05-26 15:52:44,0,112,sdah berlangganan dan bayar tpi tiap mau masuk sandi sllu salah padahal sdah sesuai dgn sandi yg di daftar awal
Netflix,Surya Adtya,1,🤮🤮🤮🤢🤢👎👎👎👎👎👎,2026-05-26 14:51:16,0,11,
Netflix,Anan Pangerestu,5,bagus banget buat nonton semua jenis film,2026-05-26 14:29:05,0,41,bagus banget buat nonton semua jenis film
Netflix,Halimah Hamidah,1,susah untuk login masuk jika baru bergabung,2026-05-26 14:27:55,0,43,susah untuk login masuk jika baru bergabung
Netflix,Indra Firmanda,5,"Netflix has a very complete collection of content with a wide variety of genres. From short films and documentaries to series, everything is available with excellent quality. I especially love Netflix exclusive movies and series because they are always interesting and have outstanding production quality. It’s always my go-to app when looking for new and high-quality entertainment.",2026-05-26 13:46:40,0,383,netflix has a very complete collection of content with a wide variety of genres from short films and documentaries to series everything is available with excellent quality i especially love netflix exclusive movies and series because they are always interesting and have outstanding production quality it s always my go to app when looking for new and high quality entertainment
Netflix,Riyan Hari Nurdin,5,sangat memuaskan apalagi bayak yg baru,2026-05-26 12:43:13,0,38,sangat memuaskan apalagi bayak yg baru
Netflix,Trisa Handmade,1,eror mulu percuma bayar langganan g bisa masuk 😏😏😏,2026-05-26 10:36:45,0,50,eror mulu percuma bayar langganan g bisa masuk
Netflix,Lia Yulistiawati,4,lagi menunggu translet to bahasa indonesia di drama shine on me,2026-05-26 09:31:51,0,63,lagi menunggu translet to bahasa indonesia di drama shine on me
