app_name,username,rating,review,date,thumbs_up
Netflix,Oliv_mgrthh 29,3,"susah masuk kedalam akun, selalu terlalu banyak upaya",2026-05-26 20:19:03,0
Netflix,Fina Nazilia,1,"tidak bisa masuk, harus berbayar dahulu",2026-05-26 20:00:02,0
Netflix,Bayu Gustiawan,1,Daftar ae dibikin muter muter,2026-05-26 18:58:22,0
Netflix,Luh Gian Adinda,4,"harry potter,please",2026-05-26 17:20:46,0
Netflix,Rahma,1,"sdah berlangganan dan bayar tpi tiap mau masuk sandi sllu salah, padahal sdah sesuai dgn sandi yg di daftar awal",2026-05-26 15:52:44,0
Netflix,Surya Adtya,1,🤮🤮🤮🤢🤢👎👎👎👎👎👎,2026-05-26 14:51:16,0
Netflix,Anan Pangerestu,5,bagus banget buat nonton semua jenis film,2026-05-26 14:29:05,0
Netflix,Halimah Hamidah,1,susah untuk login masuk jika baru bergabung,2026-05-26 14:27:55,0
Netflix,Indra Firmanda,5,"Netflix has a very complete collection of content with a wide variety of genres. From short films and documentaries to series, everything is available with excellent quality. I especially love Netflix exclusive movies and series because they are always interesting and have outstanding production quality. It’s always my go-to app when looking for new and high-quality entertainment.",2026-05-26 13:46:40,0
Netflix,Riyan Hari Nurdin,5,sangat memuaskan apalagi bayak yg baru,2026-05-26 12:43:13,0
Netflix,Trisa Handmade,1,eror mulu percuma bayar langganan g bisa masuk 😏😏😏,2026-05-26 10:36:45,0
Netflix,Lia Yulistiawati,4,lagi menunggu translet to bahasa indonesia di drama shine on me,2026-05-26 09:31:51,0
Netflix,ucup markucup19,1,Netflix anjj gw mau refaund aja susah bat,2026-05-26 04:44:45,0
Netflix,Muh Qital,1,"Error mulu, bayar mahal2 buat aplikasi sejelek ini.. Rugi rugiii... Jgn ada yg langganan lg mending, sumpah jelek bgt nih aplikasi",2026-05-26 03:20:22,0
Netflix,Rizwan Sr,1,buruk rupa,2026-05-26 00:54:42,0
Netflix,Chey Nda,1,BUATKAN FITUR ATUR RESOLUSI SENDIRI TANPA HARUS MENGIKUTI JARINGAN SAJA. MENYESAL BELI PREMIUM TAPI TIDAK BISA HD KARENA DEVICE ATAU JARINGAN LAH,2026-05-26 00:23:34,0
Netflix,Lisa Margaretha Sugiarto,5,aku suka bgt sama aplikasi nonton terbaik Netflix Best bgt 😍😭❤,2026-05-25 22:10:21,0
Netflix,Nova Marishka,5,sangat asyik sampai hampir lupa segalanya 😜,2026-05-25 17:14:05,0
Netflix,Jihad Magfirah,1,satu satunya aplikasi yang bikin pusing pas mau daftar,2026-05-25 15:59:18,0
Netflix,note four,4,ada lumayan banyak film anime seru cuma bahasa nya inggris bukan indo jadi gw kasih bintang 4,2026-05-25 15:31:04,0
Netflix,novita andriyani,5,ggod,2026-05-25 15:27:32,0
Netflix,alucard skin legend,5,🔥🔥,2026-05-25 15:16:57,0
Netflix,Yuni Rosita,5,bagus aplikasi nonton film rekomen deh,2026-05-25 14:48:25,0
Netflix,Yasin Fatahillah,1,ga bisa masuk aplikasi nya,2026-05-25 13:22:16,0
Netflix,Hi malaya,1,"udah cape"" ngapalin email + password endingnya tetap disuruh verifikasi code juga pas login bikin cape aja menyulitkan...",2026-05-25 11:25:48,0
Netflix,Arunia Fitri,2,aplikasi nya motong saldo,2026-05-25 09:34:31,0
Netflix,Vicky refly Renaldi,1,bos gua gak maen apk kenapa kena potongan,2026-05-25 09:23:27,0
Netflix,Siauw Diana,1,"apaan da ini netflix,ga lengkap film2 ny,ms 10 rekomendasi dr toktok mlh ketemu ny di lok2.pdhl u yg byr loh netflix,mlh u yg ga da 1 pun.lok2 ketemu 7 film itu ada semua.parah ga lengkp.netflix film ny lama2 jg,bosen.oh ya,dan jg mau dowload pun susahny mnta ampun,gmpng di lok2 wlupun nntn iklan dlu.ini di netflix da byr,tp ga bs lht ofline,di download gagal melulu",2026-05-25 08:52:30,0
Netflix,ucok Jarot,2,Memberi pelajaran anak sekolah?,2026-05-25 06:47:30,0
Netflix,Irsyadi Syadi,1,sudah 2 kali uang saya di tarik di dana tapi apk tidak bisa di buka gimana ini rugi uang padahal password sama email udah bener,2026-05-25 01:35:35,0
Netflix,ComiconOGlog,5,"banyak judul² film bergenre sci fi, horor sama apocalypse, khususnya film horor Indonesia yang lumayan banyak, harga langganan juga gak mahal² bgt.",2026-05-25 00:56:48,0
Netflix,Arie Subowo,1,"kacau saya sudah berhenti ikut berlangganan keanggotaan tapi saldo Dana saya terus tersedot,apakah ada yang sama",2026-05-24 22:53:07,0
Netflix,Egi Sahrul G,3,perbaiki bug tidak bisa putar movie locke & key aplikasi malah jadi tidak menanggapi.,2026-05-24 21:23:57,0
Netflix,dophine cane,1,apk tolol,2026-05-24 21:09:50,0
Netflix,Moch Yusuf Giri Nugraha,2,"subtitle bahasa indonesia pada serial Berlin and The Lady with an Ermain sering macet tiba-tiba, menyebalkan!",2026-05-24 20:42:40,0
Netflix,Febrian Mahdinata,1,"Terjadi kesalahan, padahal akun tidak ada yg menggunakan tpi terjadi banyak perangkat yang menggunakannya. Saya bener² kecewa, sudah membeli tpi tidak bisa digunakan sama sekali 😇😇",2026-05-24 20:08:51,0
Netflix,Yusuf Akbar,5,aplikasi Entertainment yang oke,2026-05-24 18:54:50,0
Netflix,Zee Laundry,5,nice,2026-05-24 18:29:36,0
Netflix,Ahmad Bukhori,1,"Berasa kaya nonton bajakan,, brenyek dan pecah² gambarnya udah kaya cd rusak!!!!!",2026-05-24 17:39:04,0
Netflix,Putu Ari,1,tidak bisa d buka di hp,2026-05-24 15:11:40,0
